	County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
1947	Mecklenburg	NC	1513	12.0	7.6	10.4	36551.0	13844.0
1952	New Hanover	NC	903	13.4	5.4	11.9	6151.0	4339.0
1979	Wake	NC	900	8.7	5.8	9.3	32741.0	10269.0
2049	Butler	OH	750	8.9	8.2	12.5	14141.0	8256.0
2058	Cuyahoga	OH	2912	13.5	9.1	10.4	52896.0	45286.0
2065	Franklin	OH	2020	12.0	8.5	9.0	51524.0	25008.0
2071	Hamilton	OH	1980	11.5	10.0	9.7	35448.0	24890.0
2083	Lake	OH	1019	6.3	5.8	11.4	7773.0	6477.0
2087	Lorain	OH	602	9.8	7.5	9.4	10884.0	7707.0
2088	Lucas	OH	1317	12.8	9.2	12.0	19009.0	13437.0
2090	Mahoning	OH	612	12.9	9.2	11.2	8248.0	9288.0
2097	Montgomery	OH	1186	11.2	8.1	11.7	22068.0	16729.0
2116	Stark	OH	661	9.8	7.9	9.0	13681.0	11785.0
2117	Summit	OH	1324	11.1	7.4	10.1	20430.0	16341.0
2183	Oklahoma	OK	965	15.5	8.2	14.6	34245.0	19299.0
2200	Tulsa	OK	1003	13.2	7.9	15.8	27942.0	15882.0
2231	Multnomah	OR	1546	12.9	4.9	13.4	27949.0	17381.0
2239	Washington	OR	691	8.7	4.3	11.8	22703.0	8204.0
2243	Allegheny	PA	1693	10.8	8.0	10.8	40998.0	45786.0
2250	Bucks	PA	1023	5.6	5.4	10.4	21369.0	15174.0
2256	Chester	PA	627	5.3	5.8	8.0	17771.0	9822.0
2264	Delaware	PA	3016	8.9	6.9	8.9	20217.0	17172.0
2277	Lancaster	PA	517	8.3	7.8	7.8	19996.0	12837.0
2280	Lehigh	PA	953	9.6	8.0	10.4	11555.0	9461.0
2287	Montgomery	PA	1606	5.5	5.3	8.6	28676.0	21093.0
2289	Northampton	PA	770	7.7	5.8	10.6	9005.0	7777.0
2292	Philadelphia	PA	10832	20.1	10.4	10.7	64853.0	50895.0
2309	Bristol	RI	2137	7.0	4.5	6.2	2470.0	2606.0
2310	Kent	RI	1008	6.7	5.2	9.2	5608.0	5241.0
2311	Newport	RI	805	8.0	5.1	6.9	4662.0	3759.0
2312	Providence	RI	1548	14.4	7.6	7.5	24958.0	18303.0
2336	Greenville	SC	516	12.0	5.5	11.6	16464.0	10065.0
2444	Davidson	TN	1145	13.5	8.7	13.7	26453.0	15495.0
2458	Hamilton	TN	573	13.3	10.1	11.0	11872.0	9553.0
2472	Knox	TN	796	12.7	6.1	12.2	14567.0	10953.0
2504	Shelby	TN	1205	16.6	14.0	9.9	42781.0	23554.0
2535	Bexar	TX	1218	17.6	7.0	10.3	73703.0	30791.0
2563	Collin	TX	778	5.4	4.0	7.5	29125.0	6159.0
2577	Dallas	TX	2621	16.9	6.8	10.6	128098.0	42119.0
2581	Denton	TX	624	8.3	5.3	8.8	24872.0	5750.0
2591	El Paso	TX	712	25.7	4.1	7.5	42470.0	12662.0
2599	Fort Bend	TX	530	8.4	4.6	9.5	16800.0	4795.0
2604	Galveston	TX	697	13.7	8.3	14.4	11571.0	6808.0
2621	Harris	TX	2136	16.2	6.0	10.8	195600.0	62223.0
2740	Tarrant	TX	1877	12.9	7.5	9.8	80771.0	29109.0
2747	Travis	TX	898	13.9	5.8	12.9	43572.0	12200.0
2780	Davis	UT	881	7.4	3.4	13.6	15592.0	3524.0
2792	Salt Lake	UT	1286	9.8	5.3	15.9	54909.0	15734.0
2824	Arlington	VA	7575	7.4	4.2	7.6	8541.0	3244.0
2838	Chesterfield	VA	679	6.7	6.0	11.3	10210.0	4643.0
2846	Fairfax	VA	2548	5.8	4.7	7.3	43498.0	12822.0
2860	Henrico	VA	1179	7.9	8.0	11.9	11013.0	6989.0
2890	Prince William	VA	1032	6.1	6.8	7.8	17032.0	3553.0
2912	York	VA	585	5.0	6.3	7.9	3178.0	1632.0
2913	Alexandria City	VA	8915	8.8	5.9	8.5	7852.0	2432.0
2914	Bedford City	VA	901	15.8	6.7	18.9	796.0	1203.0
2915	Bristol City	VA	1344	16.4	4.8	17.3	1648.0	2551.0
2916	Buena Vista City	VA	942	11.6	8.9	-1111.1	770.0	857.0
2917	Charlottesville City	VA	3941	17.8	7.4	11.6	2553.0	1737.0
2918	Chesapeake City	VA	643	9.1	11.5	7.9	8349.0	4221.0
2919	Colonial Heights City	VA	2349	7.4	6.7	13.8	2847.0	2044.0
2920	Covington City	VA	1094	12.7	6.6	-1111.1	834.0	1031.0
2921	Danville City	VA	1072	19.3	10.1	19.3	2861.0	3768.0
2922	Emporia City	VA	811	16.4	13.6	-1111.1	735.0	1109.0
2923	Fairfax City	VA	3481	5.5	6.7	13.2	3271.0	2080.0
2924	Falls Church City	VA	5418	3.0	5.4	9.4	1866.0	790.0
2925	Franklin City	VA	1029	17.3	9.8	11.3	1154.0	1332.0
2926	Fredericksburg City	VA	1971	14.1	9.1	15.1	3936.0	2179.0
2927	Galax City	VA	811	17.9	5.3	19.5	1023.0	1212.0
